epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9418,0.74865,1.4671,1.00607,0.88595,0.79424,0.84288,0.69681,0.7667,1.0131,0.98244,0.000554235,0.000554235,0.000554235
2,115.204,0.78564,0.8919,1.00567,0.87605,0.82027,0.86407,0.72623,0.70233,0.86398,0.95601,0.00105496,0.00105496,0.00105496
3,172.827,0.76813,0.75568,1.01052,0.82366,0.77601,0.8356,0.70277,0.73093,0.84284,0.96633,0.00150068,0.00150068,0.00150068
4,229.836,0.73794,0.67874,0.9916,0.71804,0.60509,0.57204,0.46873,0.73486,1.66331,0.98502,0.00141945,0.00141945,0.00141945
5,287.128,0.71061,0.62826,0.98604,0.9128,0.83111,0.88035,0.75623,0.65049,0.69005,0.94815,0.00133693,0.00133693,0.00133693
6,344.582,0.68218,0.58759,0.97202,0.91398,0.83476,0.87713,0.76196,0.65656,0.70378,0.93268,0.00125442,0.00125442,0.00125442
7,401.684,0.65789,0.55948,0.9654,0.93911,0.87054,0.91523,0.80334,0.57693,0.53916,0.91296,0.0011719,0.0011719,0.0011719
8,458.966,0.63398,0.53012,0.95732,0.93696,0.88221,0.91886,0.8012,0.58927,0.53085,0.9165,0.00108938,0.00108938,0.00108938
9,516.3,0.61787,0.50704,0.9476,0.94871,0.88737,0.92271,0.82386,0.54704,0.48641,0.89415,0.00100687,0.00100687,0.00100687
10,573.441,0.60664,0.49552,0.94359,0.94033,0.89134,0.92194,0.82224,0.54262,0.49831,0.89788,0.000924352,0.000924352,0.000924352
11,648.879,0.56556,0.4609,0.89995,0.93464,0.8665,0.91079,0.8055,0.58635,0.55721,0.93112,0.000841835,0.000841835,0.000841835
12,705.689,0.55773,0.44298,0.89929,0.93806,0.87245,0.92042,0.81701,0.57497,0.52246,0.91573,0.000759318,0.000759318,0.000759318
13,762.17,0.53875,0.42207,0.89402,0.95383,0.88702,0.92878,0.83112,0.52675,0.46146,0.89409,0.000676802,0.000676802,0.000676802
14,818.913,0.52203,0.40112,0.88891,0.96013,0.89386,0.93162,0.83248,0.51681,0.44693,0.88925,0.000594286,0.000594286,0.000594286
15,875.74,0.50786,0.38734,0.8806,0.94733,0.90592,0.9387,0.8446,0.50332,0.43414,0.89259,0.000511769,0.000511769,0.000511769
16,932.408,0.49398,0.37462,0.87475,0.9549,0.90501,0.93717,0.85168,0.48551,0.42883,0.87574,0.000429253,0.000429253,0.000429253
17,989.005,0.47366,0.35535,0.86641,0.95986,0.90152,0.94329,0.85748,0.47391,0.40711,0.87225,0.000346736,0.000346736,0.000346736
18,1045.54,0.4658,0.34144,0.86639,0.96874,0.90295,0.94535,0.85907,0.4764,0.39345,0.87264,0.00026422,0.00026422,0.00026422
19,1102.28,0.44243,0.32454,0.85937,0.96326,0.90606,0.94574,0.85949,0.45063,0.38134,0.86698,0.000181703,0.000181703,0.000181703
20,1158.92,0.43195,0.31349,0.85691,0.96484,0.90869,0.948,0.86351,0.44946,0.36922,0.86973,9.91865e-05,9.91865e-05,9.91865e-05
